accountId,date_acquired,cust_age,avg_order_rev,min_order_rev,max_order_rev,tot_order_cnt,churned
11250,2013-05-11,1181,721.733333,194.8,1200,3,1
11267,2013-05-16,1176,267,153,345,4,1
11304,2013-05-12,1180,308.63,283.01,330,3,1
11314,2013-05-12,1180,369.148,287.76,525,7,1
11320,2013-05-12,1180,349.68,268.8,430.56,2,1
11323,2013-05-12,1180,1284.65,222.8,2346.5,2,1
11329,2013-05-12,1180,310.555,259.35,361.76,3,1
11331,2013-05-12,1180,245.74,96,395.48,2,1
11333,2013-05-12,1180,381.213333,263.7,485.44,3,1
11335,2013-05-12,1180,349.25,294.3,404.2,2,1
11352,2013-05-14,1178,473.11,445.5,500.72,2,1
11356,2013-05-13,1179,705.15,528.3,882,2,1
11361,2013-05-14,1178,255.8,159.9,337.5,3,1
11362,2013-05-13,1179,276.235,180,372.47,2,1
11372,2013-05-13,1179,736.3,297,1519.94,3,0
11374,2013-05-13,1179,1058.543333,458.4,1944.08,3,1
11377,2013-05-13,1179,596.37,588.5,604.24,2,1
11379,2013-05-15,1177,3298.6,2761.56,3973.84,4,0
11396,2013-05-13,1179,616.65,320,997.1,4,0
11399,2013-05-13,1179,716.725,582.8,850.65,2,1
11410,2013-05-13,1179,1359.6,396.72,2322.48,2,1
11417,2013-05-13,1179,227.07,215.46,238.68,2,1
11420,2013-05-13,1179,231.59,196.44,266.74,2,1
11430,2013-05-13,1179,308.025,269.25,346.8,2,1
11434,2013-05-13,1179,1282.188571,377,2917.7,9,0
11435,2013-05-13,1179,1378.2,1267.2,1489.2,5,1
11439,2013-05-15,1177,328.865,269.73,388,2,0
11447,2013-05-13,1179,322.17,194.34,450,2,1
11462,2013-05-13,1179,330.875,299.5,362.25,4,1
11464,2013-05-13,1179,236,221.28,249.12,3,1
11465,2013-05-13,1179,363.3,323.4,403.2,2,1
11472,2013-05-13,1179,214.803333,171.36,245.44,3,1
11473,2013-05-13,1179,278.76,272.55,284.97,2,1
11487,2013-05-13,1179,1011.37619,142.11,4592.75,21,1
11492,2013-05-13,1179,240.735,213.36,268.11,2,1
11495,2013-05-14,1178,418.32,418.32,418.32,3,1
11500,2013-05-14,1178,511.74,406.44,617.04,2,1
11502,2013-05-14,1178,454.3,454.3,454.3,2,1
11517,2013-05-14,1178,470.75,103,838.5,2,1
11540,2013-05-14,1178,599.525,500,699.05,2,1
11557,2013-05-15,1177,751.566667,410,1050,3,0
11570,2013-05-14,1178,688.9,688.9,688.9,2,1
11572,2013-05-14,1178,239.525,196.35,282.7,2,1
11581,2013-05-14,1178,279.72,250.95,308.49,2,1
11585,2013-05-21,1171,498.56,150,726.24,4,1
11586,2013-05-15,1177,487.993333,311.04,669.36,3,0
11622,2013-05-14,1178,229.075,207.35,250.8,2,1
11642,2013-05-14,1178,840.1,697.05,1000.1,4,1
11662,2013-05-14,1178,1343,924,1762,2,1
11665,2013-05-14,1178,259.57,185.9,333.24,2,1
11676,2013-05-15,1177,1287.04,176.54,3650.3,7,0
11693,2013-05-15,1177,339.185,292.32,386.05,2,1
11700,2013-05-15,1177,1068.433333,286.2,2410,3,1
11706,2013-05-15,1177,726.883333,268.9,1189.75,3,1
11718,2013-05-15,1177,525.24,410.09,640.39,2,1
11721,2013-05-15,1177,960.41,797.5,1123.32,2,1
11722,2013-05-15,1177,325,325,325,2,1
11729,2013-05-15,1177,467.9075,178.68,1208.05,4,1
11730,2013-05-15,1177,433.78,433.78,433.78,3,1
11734,2013-05-15,1177,440.7,389.7,491.7,2,1
11738,2013-05-16,1176,553.83,15,1157,7,0
11741,2013-05-15,1177,2502.5,1330,3675,2,1
11742,2013-05-16,1176,1450.4,1450.4,1450.4,2,1
11746,2013-05-15,1177,788.9,344.5,1500,5,1
11751,2013-05-15,1177,959.5,566.15,1538.35,3,1
11761,2013-05-20,1172,567.06,450,748.68,3,0
11768,2013-05-15,1177,260,260,260,4,1
11772,2013-05-15,1177,321.84,193.92,550.5,6,1
11773,2013-05-15,1177,635.55,399.6,871.5,2,1
11782,2013-05-16,1176,759.405,741.21,777.6,2,1
11795,2013-05-16,1176,589.2525,310.96,1086.73,4,1
11796,2013-05-16,1176,521.94,514.4,529.48,2,1
11797,2013-05-16,1176,239.453333,203.88,270.75,3,1
11798,2013-05-16,1176,470.93,452.26,489.6,3,1
11813,2013-05-16,1176,867.806667,619.5,1050.5,3,1
11836,2013-05-16,1176,335.19,306.72,363.66,2,1
11848,2013-05-16,1176,327.533333,244.3,475.8,3,1
11861,2013-05-20,1172,270.11,252.72,287.5,2,1
11862,2013-05-20,1172,1177.356667,601,2018.57,3,1
11863,2013-05-21,1171,306.79,249.08,364.5,2,1
11874,2013-05-16,1176,305.783333,267.45,344.08,3,1
11878,2013-05-16,1176,2772,2550,2994,2,1
11884,2013-05-16,1176,601.2,601.2,601.2,2,1
11885,2013-05-16,1176,496.185,456.03,536.34,2,1
11891,2013-05-16,1176,201.66,188.88,214.44,2,1
11892,2013-05-16,1176,308.233333,262.5,352,3,1
11894,2013-05-16,1176,547.733333,313.2,750,3,0
11897,2013-05-16,1176,508.9,367.8,650,2,0
11905,2013-05-17,1175,342.463333,302.5,391,3,1
11906,2013-05-17,1175,288.4,224.25,352.55,2,1
11915,2013-05-17,1175,630.593333,497.4,785.6,6,1
11919,2013-05-17,1175,358.783333,307,460.5,3,1
11922,2013-05-17,1175,210.1775,111,277.7,5,1
11940,2013-05-17,1175,743.1,500.4,985.8,2,0
11950,2013-05-17,1175,621.433333,514.27,715.05,3,0
11964,2013-05-17,1175,1150.54,299,2362.2,5,0
11977,2013-05-17,1175,318.115,243.75,392.48,2,1
11992,2013-05-18,1174,933.01,894.7,1005.93,3,0
11995,2013-05-18,1174,857.2,540.5,1173.9,2,1
11996,2013-05-24,1168,352.623333,60,560.82,4,1
12000,2013-05-18,1174,786.065,433.23,1138.9,2,1
12003,2013-05-23,1169,500.625,450,551.25,2,1
